Stack at (2, 3), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 3,	 0)	None	None	None	None	None	None
(2,	 3,	 1)	None	None	None	None	None	None
(2,	 3,	 2)	None	None	None	None	None	None
(2,	 3,	 3)	None	None	None	None	None	None
(2,	 3,	 4)	None	None	None	None	None	None
(2,	 3,	 5)	None	None	None	None	None	None
(2,	 3,	 6)	None	None	None	None	None	None
(2,	 3,	 7)	None	None	None	None	None	None
(2,	 3,	 8)	None	None	None	None	None	None
(2,	 3,	 9)	None	None	None	None	None	None
(2,	 3,	 10)	None	None	None	None	None	None
(2,	 3,	 11)	None	None	None	None	None	None
(2,	 3,	 12)	None	None	None	None	None	None
(2,	 3,	 13)	None	None	None	None	None	None
(2,	 3,	 14)	None	None	None	None	None	None
(2,	 3,	 15)	None	None	None	None	None	None
(2,	 3,	 16)	None	None	None	None	None	None
(2,	 3,	 17)	None	None	None	None	None	None
Stack at (2, 4), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 4,	 0)	None	None	None	None	None	None
(2,	 4,	 1)	None	None	None	None	None	None
(2,	 4,	 2)	None	None	None	None	None	None
(2,	 4,	 3)	None	None	None	None	None	None
(2,	 4,	 4)	None	None	None	None	None	None
(2,	 4,	 5)	None	None	None	None	None	None
(2,	 4,	 6)	None	None	None	None	None	None
(2,	 4,	 7)	None	None	None	None	None	None
(2,	 4,	 8)	None	None	None	None	None	None
(2,	 4,	 9)	None	None	None	None	None	None
(2,	 4,	 10)	None	None	None	None	None	None
(2,	 4,	 11)	None	None	None	None	None	None
(2,	 4,	 12)	None	None	None	None	None	None
(2,	 4,	 13)	None	None	None	None	None	None
(2,	 4,	 14)	None	None	None	None	None	None
(2,	 4,	 15)	None	None	None	None	None	None
(2,	 4,	 16)	None	None	None	None	None	None
(2,	 4,	 17)	None	None	None	None	None	None
Stack at (2, 5), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 5,	 0)	None	None	None	None	None	None
(2,	 5,	 1)	None	None	None	None	None	None
(2,	 5,	 2)	None	None	None	None	None	None
(2,	 5,	 3)	None	None	None	None	None	None
(2,	 5,	 4)	None	None	None	None	None	None
(2,	 5,	 5)	None	None	None	None	None	None
(2,	 5,	 6)	None	None	None	None	None	None
(2,	 5,	 7)	None	None	None	None	None	None
(2,	 5,	 8)	None	None	None	None	None	None
(2,	 5,	 9)	None	None	None	None	None	None
(2,	 5,	 10)	None	None	None	None	None	None
(2,	 5,	 11)	None	None	None	None	None	None
(2,	 5,	 12)	None	None	None	None	None	None
(2,	 5,	 13)	None	None	None	None	None	None
(2,	 5,	 14)	None	None	None	None	None	None
(2,	 5,	 15)	None	None	None	None	None	None
(2,	 5,	 16)	None	None	None	None	None	None
(2,	 5,	 17)	None	None	None	None	None	None
Stack at (2, 6), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 6,	 0)	None	None	None	None	None	None
(2,	 6,	 1)	None	None	None	None	None	None
(2,	 6,	 2)	None	None	None	None	None	None
(2,	 6,	 3)	None	None	None	None	None	None
(2,	 6,	 4)	None	None	None	None	None	None
(2,	 6,	 5)	None	None	None	None	None	None
(2,	 6,	 6)	None	None	None	None	None	None
(2,	 6,	 7)	None	None	None	None	None	None
(2,	 6,	 8)	None	None	None	None	None	None
(2,	 6,	 9)	None	None	None	None	None	None
(2,	 6,	 10)	None	None	None	None	None	None
(2,	 6,	 11)	None	None	None	None	None	None
(2,	 6,	 12)	None	None	None	None	None	None
(2,	 6,	 13)	None	None	None	None	None	None
(2,	 6,	 14)	None	None	None	None	None	None
(2,	 6,	 15)	None	None	None	None	None	None
(2,	 6,	 16)	None	None	None	None	None	None
(2,	 6,	 17)	None	None	None	None	None	None
Stack at (2, 7), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 7,	 0)	None	None	None	None	None	None
(2,	 7,	 1)	None	None	None	None	None	None
(2,	 7,	 2)	None	None	None	None	None	None
(2,	 7,	 3)	None	None	None	None	None	None
(2,	 7,	 4)	None	None	None	None	None	None
(2,	 7,	 5)	None	None	None	None	None	None
(2,	 7,	 6)	None	None	None	None	None	None
(2,	 7,	 7)	None	None	None	None	None	None
(2,	 7,	 8)	None	None	None	None	None	None
(2,	 7,	 9)	None	None	None	None	None	None
(2,	 7,	 10)	None	None	None	None	None	None
(2,	 7,	 11)	None	None	None	None	None	None
(2,	 7,	 12)	None	None	None	None	None	None
(2,	 7,	 13)	None	None	None	None	None	None
(2,	 7,	 14)	None	None	None	None	None	None
(2,	 7,	 15)	None	None	None	None	None	None
(2,	 7,	 16)	None	None	None	None	None	None
(2,	 7,	 17)	None	None	None	None	None	None
Stack at (2, 8), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 8,	 0)	None	None	None	None	None	None
(2,	 8,	 1)	None	None	None	None	None	None
(2,	 8,	 2)	None	None	None	None	None	None
(2,	 8,	 3)	None	None	None	None	None	None
(2,	 8,	 4)	None	None	None	None	None	None
(2,	 8,	 5)	None	None	None	None	None	None
(2,	 8,	 6)	None	None	None	None	None	None
(2,	 8,	 7)	None	None	None	None	None	None
(2,	 8,	 8)	None	None	None	None	None	None
(2,	 8,	 9)	None	None	None	None	None	None
(2,	 8,	 10)	None	None	None	None	None	None
(2,	 8,	 11)	None	None	None	None	None	None
(2,	 8,	 12)	None	None	None	None	None	None
(2,	 8,	 13)	None	None	None	None	None	None
(2,	 8,	 14)	None	None	None	None	None	None
(2,	 8,	 15)	None	None	None	None	None	None
(2,	 8,	 16)	None	None	None	None	None	None
(2,	 8,	 17)	None	None	None	None	None	None
Stack at (2, 9), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 9,	 0)	None	None	None	None	None	None
(2,	 9,	 1)	None	None	None	None	None	None
(2,	 9,	 2)	None	None	None	None	None	None
(2,	 9,	 3)	None	None	None	None	None	None
(2,	 9,	 4)	None	None	None	None	None	None
(2,	 9,	 5)	None	None	None	None	None	None
(2,	 9,	 6)	None	None	None	None	None	None
(2,	 9,	 7)	None	None	None	None	None	None
(2,	 9,	 8)	None	None	None	None	None	None
(2,	 9,	 9)	None	None	None	None	None	None
(2,	 9,	 10)	None	None	None	None	None	None
(2,	 9,	 11)	None	None	None	None	None	None
(2,	 9,	 12)	None	None	None	None	None	None
(2,	 9,	 13)	None	None	None	None	None	None
(2,	 9,	 14)	None	None	None	None	None	None
(2,	 9,	 15)	None	None	None	None	None	None
(2,	 9,	 16)	None	None	None	None	None	None
(2,	 9,	 17)	None	None	None	None	None	None
Stack at (2, 10), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 10,	 0)	None	None	None	None	None	None
(2,	 10,	 1)	None	None	None	None	None	None
(2,	 10,	 2)	None	None	None	None	None	None
(2,	 10,	 3)	None	None	None	None	None	None
(2,	 10,	 4)	None	None	None	None	None	None
(2,	 10,	 5)	None	None	None	None	None	None
(2,	 10,	 6)	None	None	None	None	None	None
(2,	 10,	 7)	None	None	None	None	None	None
(2,	 10,	 8)	None	None	None	None	None	None
(2,	 10,	 9)	None	None	None	None	None	None
(2,	 10,	 10)	None	None	None	None	None	None
(2,	 10,	 11)	None	None	None	None	None	None
(2,	 10,	 12)	None	None	None	None	None	None
(2,	 10,	 13)	None	None	None	None	None	None
(2,	 10,	 14)	None	None	None	None	None	None
(2,	 10,	 15)	None	None	None	None	None	None
(2,	 10,	 16)	None	None	None	None	None	None
(2,	 10,	 17)	None	None	None	None	None	None
Stack at (3, 0), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 0,	 0)	None	None	None	None	None	None
(3,	 0,	 1)	None	None	None	None	None	None
(3,	 0,	 2)	None	None	None	None	None	None
(3,	 0,	 3)	None	None	None	None	None	None
(3,	 0,	 4)	None	None	None	None	None	None
(3,	 0,	 5)	None	None	None	None	None	None
(3,	 0,	 6)	None	None	None	None	None	None
(3,	 0,	 7)	None	None	None	None	None	None
(3,	 0,	 8)	None	None	None	None	None	None
(3,	 0,	 9)	None	None	None	None	None	None
(3,	 0,	 10)	None	None	None	None	None	None
(3,	 0,	 11)	None	None	None	None	None	None
(3,	 0,	 12)	None	None	None	None	None	None
(3,	 0,	 13)	None	None	None	None	None	None
(3,	 0,	 14)	None	None	None	None	None	None
(3,	 0,	 15)	None	None	None	None	None	None
(3,	 0,	 16)	None	None	None	None	None	None
(3,	 0,	 17)	None	None	None	None	None	None
Stack at (3, 1), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 1,	 0)	None	None	None	None	None	None
(3,	 1,	 1)	None	None	None	None	None	None
(3,	 1,	 2)	None	None	None	None	None	None
(3,	 1,	 3)	None	None	None	None	None	None
(3,	 1,	 4)	None	None	None	None	None	None
(3,	 1,	 5)	None	None	None	None	None	None
(3,	 1,	 6)	None	None	None	None	None	None
(3,	 1,	 7)	None	None	None	None	None	None
(3,	 1,	 8)	None	None	None	None	None	None
(3,	 1,	 9)	None	None	None	None	None	None
(3,	 1,	 10)	None	None	None	None	None	None
(3,	 1,	 11)	None	None	None	None	None	None
(3,	 1,	 12)	None	None	None	None	None	None
(3,	 1,	 13)	None	None	None	None	None	None
(3,	 1,	 14)	None	None	None	None	None	None
(3,	 1,	 15)	None	None	None	None	None	None
(3,	 1,	 16)	None	None	None	None	None	None
(3,	 1,	 17)	None	None	None	None	None	None
Stack at (3, 2), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 2,	 0)	None	None	None	None	None	None
(3,	 2,	 1)	None	None	None	None	None	None
(3,	 2,	 2)	None	None	None	None	None	None
(3,	 2,	 3)	None	None	None	None	None	None
(3,	 2,	 4)	None	None	None	None	None	None
(3,	 2,	 5)	None	None	None	None	None	None
(3,	 2,	 6)	None	None	None	None	None	None
(3,	 2,	 7)	None	None	None	None	None	None
(3,	 2,	 8)	None	None	None	None	None	None
(3,	 2,	 9)	None	None	None	None	None	None
(3,	 2,	 10)	None	None	None	None	None	None
(3,	 2,	 11)	None	None	None	None	None	None
(3,	 2,	 12)	None	None	None	None	None	None
(3,	 2,	 13)	None	None	None	None	None	None
(3,	 2,	 14)	None	None	None	None	None	None
(3,	 2,	 15)	None	None	None	None	None	None
(3,	 2,	 16)	None	None	None	None	None	None
(3,	 2,	 17)	None	None	None	None	None	None
Stack at (3, 3), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 3,	 0)	None	None	None	None	None	None
(3,	 3,	 1)	None	None	None	None	None	None
(3,	 3,	 2)	None	None	None	None	None	None
(3,	 3,	 3)	None	None	None	None	None	None
(3,	 3,	 4)	None	None	None	None	None	None
(3,	 3,	 5)	None	None	None	None	None	None
(3,	 3,	 6)	None	None	None	None	None	None
(3,	 3,	 7)	None	None	None	None	None	None
(3,	 3,	 8)	None	None	None	None	None	None
(3,	 3,	 9)	None	None	None	None	None	None
(3,	 3,	 10)	None	None	None	None	None	None
(3,	 3,	 11)	None	None	None	None	None	None
(3,	 3,	 12)	None	None	None	None	None	None
(3,	 3,	 13)	None	None	None	None	None	None
(3,	 3,	 14)	None	None	None	None	None	None
(3,	 3,	 15)	None	None	None	None	None	None
(3,	 3,	 16)	None	None	None	None	None	None
(3,	 3,	 17)	None	None	None	None	None	None
Stack at (3, 4), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 4,	 0)	None	None	None	None	None	None
(3,	 4,	 1)	None	None	None	None	None	None
(3,	 4,	 2)	None	None	None	None	None	None
(3,	 4,	 3)	None	None	None	None	None	None
(3,	 4,	 4)	None	None	None	None	None	None
(3,	 4,	 5)	None	None	None	None	None	None
(3,	 4,	 6)	None	None	None	None	None	None
(3,	 4,	 7)	None	None	None	None	None	None
(3,	 4,	 8)	None	None	None	None	None	None
(3,	 4,	 9)	None	None	None	None	None	None
(3,	 4,	 10)	None	None	None	None	None	None
(3,	 4,	 11)	None	None	None	None	None	None
(3,	 4,	 12)	None	None	None	None	None	None
(3,	 4,	 13)	None	None	None	None	None	None
(3,	 4,	 14)	None	None	None	None	None	None
(3,	 4,	 15)	None	None	None	None	None	None
(3,	 4,	 16)	None	None	None	None	None	None
(3,	 4,	 17)	None	None	None	None	None	None
Stack at (3, 5), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 5,	 0)	None	None	None	None	None	None
(3,	 5,	 1)	None	None	None	None	None	None
(3,	 5,	 2)	None	None	None	None	None	None
(3,	 5,	 3)	None	None	None	None	None	None
(3,	 5,	 4)	None	None	None	None	None	None
(3,	 5,	 5)	None	None	None	None	None	None
(3,	 5,	 6)	None	None	None	None	None	None
(3,	 5,	 7)	None	None	None	None	None	None
(3,	 5,	 8)	None	None	None	None	None	None
(3,	 5,	 9)	None	None	None	None	None	None
(3,	 5,	 10)	None	None	None	None	None	None
(3,	 5,	 11)	None	None	None	None	None	None
(3,	 5,	 12)	None	None	None	None	None	None
(3,	 5,	 13)	None	None	None	None	None	None
(3,	 5,	 14)	None	None	None	None	None	None
(3,	 5,	 15)	None	None	None	None	None	None
(3,	 5,	 16)	None	None	None	None	None	None
(3,	 5,	 17)	None	None	None	None	None	None
Stack at (3, 6), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 6,	 0)	None	None	None	None	None	None
(3,	 6,	 1)	None	None	None	None	None	None
(3,	 6,	 2)	None	None	None	None	None	None
(3,	 6,	 3)	None	None	None	None	None	None
(3,	 6,	 4)	None	None	None	None	None	None
(3,	 6,	 5)	None	None	None	None	None	None
(3,	 6,	 6)	None	None	None	None	None	None
(3,	 6,	 7)	None	None	None	None	None	None
(3,	 6,	 8)	None	None	None	None	None	None
(3,	 6,	 9)	None	None	None	None	None	None
(3,	 6,	 10)	None	None	None	None	None	None
(3,	 6,	 11)	None	None	None	None	None	None
(3,	 6,	 12)	None	None	None	None	None	None
(3,	 6,	 13)	None	None	None	None	None	None
(3,	 6,	 14)	None	None	None	None	None	None
(3,	 6,	 15)	None	None	None	None	None	None
(3,	 6,	 16)	None	None	None	None	None	None
(3,	 6,	 17)	None	None	None	None	None	None
Stack at (3, 7), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 7,	 0)	None	None	None	None	None	None
(3,	 7,	 1)	None	None	None	None	None	None
(3,	 7,	 2)	None	None	None	None	None	None
(3,	 7,	 3)	None	None	None	None	None	None
(3,	 7,	 4)	None	None	None	None	None	None
(3,	 7,	 5)	None	None	None	None	None	None
(3,	 7,	 6)	None	None	None	None	None	None
(3,	 7,	 7)	None	None	None	None	None	None
(3,	 7,	 8)	None	None	None	None	None	None
(3,	 7,	 9)	None	None	None	None	None	None
(3,	 7,	 10)	None	None	None	None	None	None
(3,	 7,	 11)	None	None	None	None	None	None
(3,	 7,	 12)	None	None	None	None	None	None
(3,	 7,	 13)	None	None	None	None	None	None
(3,	 7,	 14)	None	None	None	None	None	None
(3,	 7,	 15)	None	None	None	None	None	None
(3,	 7,	 16)	None	None	None	None	None	None
(3,	 7,	 17)	None	None	None	None	None	None
Stack at (3, 8), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 8,	 0)	None	None	None	None	None	None
(3,	 8,	 1)	None	None	None	None	None	None
(3,	 8,	 2)	None	None	None	None	None	None
(3,	 8,	 3)	None	None	None	None	None	None
(3,	 8,	 4)	None	None	None	None	None	None
(3,	 8,	 5)	None	None	None	None	None	None
(3,	 8,	 6)	None	None	None	None	None	None
(3,	 8,	 7)	None	None	None	None	None	None
(3,	 8,	 8)	None	None	None	None	None	None
(3,	 8,	 9)	None	None	None	None	None	None
(3,	 8,	 10)	None	None	None	None	None	None
(3,	 8,	 11)	None	None	None	None	None	None
(3,	 8,	 12)	None	None	None	None	None	None
(3,	 8,	 13)	None	None	None	None	None	None
(3,	 8,	 14)	None	None	None	None	None	None
(3,	 8,	 15)	None	None	None	None	None	None
(3,	 8,	 16)	None	None	None	None	None	None
(3,	 8,	 17)	None	None	None	None	None	None
Stack at (3, 9), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 9,	 0)	None	None	None	None	None	None
(3,	 9,	 1)	None	None	None	None	None	None
(3,	 9,	 2)	None	None	None	None	None	None
(3,	 9,	 3)	None	None	None	None	None	None
(3,	 9,	 4)	None	None	None	None	None	None
(3,	 9,	 5)	None	None	None	None	None	None
(3,	 9,	 6)	None	None	None	None	None	None
(3,	 9,	 7)	None	None	None	None	None	None
(3,	 9,	 8)	None	None	None	None	None	None
(3,	 9,	 9)	None	None	None	None	None	None
(3,	 9,	 10)	None	None	None	None	None	None
(3,	 9,	 11)	None	None	None	None	None	None
(3,	 9,	 12)	None	None	None	None	None	None
(3,	 9,	 13)	None	None	None	None	None	None
(3,	 9,	 14)	None	None	None	None	None	None
(3,	 9,	 15)	None	None	None	None	None	None
(3,	 9,	 16)	None	None	None	None	None	None
(3,	 9,	 17)	None	None	None	None	None	None
Stack at (3, 10), in section: 1
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 10,	 0)	None	None	None	None	None	None
(3,	 10,	 1)	None	None	None	None	None	None
(3,	 10,	 2)	None	None	None	None	None	None
(3,	 10,	 3)	None	None	None	None	None	None
(3,	 10,	 4)	None	None	None	None	None	None
(3,	 10,	 5)	None	None	None	None	None	None
(3,	 10,	 6)	None	None	None	None	None	None
(3,	 10,	 7)	None	None	None	None	None	None
(3,	 10,	 8)	None	None	None	None	None	None
(3,	 10,	 9)	None	None	None	None	None	None
(3,	 10,	 10)	None	None	None	None	None	None
(3,	 10,	 11)	None	None	None	None	None	None
(3,	 10,	 12)	None	None	None	None	None	None
(3,	 10,	 13)	None	None	None	None	None	None
(3,	 10,	 14)	None	None	None	None	None	None
(3,	 10,	 15)	None	None	None	None	None	None
(3,	 10,	 16)	None	None	None	None	None	None
(3,	 10,	 17)	None	None	None	None	None	None
--------------------
2
This section has a holding container with the following information:
code	length	weight	cargo	TW	cargo capacity
4999	20	2	20	22	20
--------------------
Stack at (0, 0), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 0,	 0)	None	None	None	None	None	None
(0,	 0,	 1)	None	None	None	None	None	None
(0,	 0,	 2)	None	None	None	None	None	None
(0,	 0,	 3)	None	None	None	None	None	None
(0,	 0,	 4)	None	None	None	None	None	None
(0,	 0,	 5)	None	None	None	None	None	None
(0,	 0,	 6)	None	None	None	None	None	None
(0,	 0,	 7)	None	None	None	None	None	None
(0,	 0,	 8)	None	None	None	None	None	None
(0,	 0,	 9)	None	None	None	None	None	None
(0,	 0,	 10)	None	None	None	None	None	None
(0,	 0,	 11)	None	None	None	None	None	None
(0,	 0,	 12)	None	None	None	None	None	None
(0,	 0,	 13)	None	None	None	None	None	None
(0,	 0,	 14)	None	None	None	None	None	None
(0,	 0,	 15)	None	None	None	None	None	None
(0,	 0,	 16)	None	None	None	None	None	None
(0,	 0,	 17)	None	None	None	None	None	None
Stack at (0, 1), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 1,	 0)	None	None	None	None	None	None
(0,	 1,	 1)	None	None	None	None	None	None
(0,	 1,	 2)	None	None	None	None	None	None
(0,	 1,	 3)	None	None	None	None	None	None
(0,	 1,	 4)	None	None	None	None	None	None
(0,	 1,	 5)	None	None	None	None	None	None
(0,	 1,	 6)	None	None	None	None	None	None
(0,	 1,	 7)	None	None	None	None	None	None
(0,	 1,	 8)	None	None	None	None	None	None
(0,	 1,	 9)	None	None	None	None	None	None
(0,	 1,	 10)	None	None	None	None	None	None
(0,	 1,	 11)	None	None	None	None	None	None
(0,	 1,	 12)	None	None	None	None	None	None
(0,	 1,	 13)	None	None	None	None	None	None
(0,	 1,	 14)	None	None	None	None	None	None
(0,	 1,	 15)	None	None	None	None	None	None
(0,	 1,	 16)	None	None	None	None	None	None
(0,	 1,	 17)	None	None	None	None	None	None
Stack at (0, 2), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 2,	 0)	None	None	None	None	None	None
(0,	 2,	 1)	None	None	None	None	None	None
(0,	 2,	 2)	None	None	None	None	None	None
(0,	 2,	 3)	None	None	None	None	None	None
(0,	 2,	 4)	None	None	None	None	None	None
(0,	 2,	 5)	None	None	None	None	None	None
(0,	 2,	 6)	None	None	None	None	None	None
(0,	 2,	 7)	None	None	None	None	None	None
(0,	 2,	 8)	None	None	None	None	None	None
(0,	 2,	 9)	None	None	None	None	None	None
(0,	 2,	 10)	None	None	None	None	None	None
(0,	 2,	 11)	None	None	None	None	None	None
(0,	 2,	 12)	None	None	None	None	None	None
(0,	 2,	 13)	None	None	None	None	None	None
(0,	 2,	 14)	None	None	None	None	None	None
(0,	 2,	 15)	None	None	None	None	None	None
(0,	 2,	 16)	None	None	None	None	None	None
(0,	 2,	 17)	None	None	None	None	None	None
Stack at (0, 3), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 3,	 0)	None	None	None	None	None	None
(0,	 3,	 1)	None	None	None	None	None	None
(0,	 3,	 2)	None	None	None	None	None	None
(0,	 3,	 3)	None	None	None	None	None	None
(0,	 3,	 4)	None	None	None	None	None	None
(0,	 3,	 5)	None	None	None	None	None	None
(0,	 3,	 6)	None	None	None	None	None	None
(0,	 3,	 7)	None	None	None	None	None	None
(0,	 3,	 8)	None	None	None	None	None	None
(0,	 3,	 9)	None	None	None	None	None	None
(0,	 3,	 10)	None	None	None	None	None	None
(0,	 3,	 11)	None	None	None	None	None	None
(0,	 3,	 12)	None	None	None	None	None	None
(0,	 3,	 13)	None	None	None	None	None	None
(0,	 3,	 14)	None	None	None	None	None	None
(0,	 3,	 15)	None	None	None	None	None	None
(0,	 3,	 16)	None	None	None	None	None	None
(0,	 3,	 17)	None	None	None	None	None	None
Stack at (0, 4), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 4,	 0)	None	None	None	None	None	None
(0,	 4,	 1)	None	None	None	None	None	None
(0,	 4,	 2)	None	None	None	None	None	None
(0,	 4,	 3)	None	None	None	None	None	None
(0,	 4,	 4)	None	None	None	None	None	None
(0,	 4,	 5)	None	None	None	None	None	None
(0,	 4,	 6)	None	None	None	None	None	None
(0,	 4,	 7)	None	None	None	None	None	None
(0,	 4,	 8)	None	None	None	None	None	None
(0,	 4,	 9)	None	None	None	None	None	None
(0,	 4,	 10)	None	None	None	None	None	None
(0,	 4,	 11)	None	None	None	None	None	None
(0,	 4,	 12)	None	None	None	None	None	None
(0,	 4,	 13)	None	None	None	None	None	None
(0,	 4,	 14)	None	None	None	None	None	None
(0,	 4,	 15)	None	None	None	None	None	None
(0,	 4,	 16)	None	None	None	None	None	None
(0,	 4,	 17)	None	None	None	None	None	None
Stack at (0, 5), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 5,	 0)	None	None	None	None	None	None
(0,	 5,	 1)	None	None	None	None	None	None
(0,	 5,	 2)	None	None	None	None	None	None
(0,	 5,	 3)	None	None	None	None	None	None
(0,	 5,	 4)	None	None	None	None	None	None
(0,	 5,	 5)	None	None	None	None	None	None
(0,	 5,	 6)	None	None	None	None	None	None
(0,	 5,	 7)	None	None	None	None	None	None
(0,	 5,	 8)	None	None	None	None	None	None
(0,	 5,	 9)	None	None	None	None	None	None
(0,	 5,	 10)	None	None	None	None	None	None
(0,	 5,	 11)	None	None	None	None	None	None
(0,	 5,	 12)	None	None	None	None	None	None
(0,	 5,	 13)	None	None	None	None	None	None
(0,	 5,	 14)	None	None	None	None	None	None
(0,	 5,	 15)	None	None	None	None	None	None
(0,	 5,	 16)	None	None	None	None	None	None
(0,	 5,	 17)	None	None	None	None	None	None
Stack at (0, 6), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 6,	 0)	None	None	None	None	None	None
(0,	 6,	 1)	None	None	None	None	None	None
(0,	 6,	 2)	None	None	None	None	None	None
(0,	 6,	 3)	None	None	None	None	None	None
(0,	 6,	 4)	None	None	None	None	None	None
(0,	 6,	 5)	None	None	None	None	None	None
(0,	 6,	 6)	None	None	None	None	None	None
(0,	 6,	 7)	None	None	None	None	None	None
(0,	 6,	 8)	None	None	None	None	None	None
(0,	 6,	 9)	None	None	None	None	None	None
(0,	 6,	 10)	None	None	None	None	None	None
(0,	 6,	 11)	None	None	None	None	None	None
(0,	 6,	 12)	None	None	None	None	None	None
(0,	 6,	 13)	None	None	None	None	None	None
(0,	 6,	 14)	None	None	None	None	None	None
(0,	 6,	 15)	None	None	None	None	None	None
(0,	 6,	 16)	None	None	None	None	None	None
(0,	 6,	 17)	None	None	None	None	None	None
Stack at (0, 7), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 7,	 0)	None	None	None	None	None	None
(0,	 7,	 1)	None	None	None	None	None	None
(0,	 7,	 2)	None	None	None	None	None	None
(0,	 7,	 3)	None	None	None	None	None	None
(0,	 7,	 4)	None	None	None	None	None	None
(0,	 7,	 5)	None	None	None	None	None	None
(0,	 7,	 6)	None	None	None	None	None	None
(0,	 7,	 7)	None	None	None	None	None	None
(0,	 7,	 8)	None	None	None	None	None	None
(0,	 7,	 9)	None	None	None	None	None	None
(0,	 7,	 10)	None	None	None	None	None	None
(0,	 7,	 11)	None	None	None	None	None	None
(0,	 7,	 12)	None	None	None	None	None	None
(0,	 7,	 13)	None	None	None	None	None	None
(0,	 7,	 14)	None	None	None	None	None	None
(0,	 7,	 15)	None	None	None	None	None	None
(0,	 7,	 16)	None	None	None	None	None	None
(0,	 7,	 17)	None	None	None	None	None	None
Stack at (0, 8), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 8,	 0)	None	None	None	None	None	None
(0,	 8,	 1)	None	None	None	None	None	None
(0,	 8,	 2)	None	None	None	None	None	None
(0,	 8,	 3)	None	None	None	None	None	None
(0,	 8,	 4)	None	None	None	None	None	None
(0,	 8,	 5)	None	None	None	None	None	None
(0,	 8,	 6)	None	None	None	None	None	None
(0,	 8,	 7)	None	None	None	None	None	None
(0,	 8,	 8)	None	None	None	None	None	None
(0,	 8,	 9)	None	None	None	None	None	None
(0,	 8,	 10)	None	None	None	None	None	None
(0,	 8,	 11)	None	None	None	None	None	None
(0,	 8,	 12)	None	None	None	None	None	None
(0,	 8,	 13)	None	None	None	None	None	None
(0,	 8,	 14)	None	None	None	None	None	None
(0,	 8,	 15)	None	None	None	None	None	None
(0,	 8,	 16)	None	None	None	None	None	None
(0,	 8,	 17)	None	None	None	None	None	None
Stack at (0, 9), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(0,	 9,	 0)	None	None	None	None	None	None
(0,	 9,	 1)	None	None	None	None	None	None
(0,	 9,	 2)	None	None	None	None	None	None
(0,	 9,	 3)	None	None	None	None	None	None
(0,	 9,	 4)	None	None	None	None	None	None
(0,	 9,	 5)	None	None	None	None	None	None
(0,	 9,	 6)	None	None	None	None	None	None
(0,	 9,	 7)	None	None	None	None	None	None
(0,	 9,	 8)	None	None	None	None	None	None
(0,	 9,	 9)	None	None	None	None	None	None
(0,	 9,	 10)	None	None	None	None	None	None
(0,	 9,	 11)	None	None	None	None	None	None
(0,	 9,	 12)	None	None	None	None	None	None
(0,	 9,	 13)	None	None	None	None	None	None
(0,	 9,	 14)	None	None	None	None	None	None
(0,	 9,	 15)	None	None	None	None	None	None
(0,	 9,	 16)	None	None	None	None	None	None
