This file contains information about the containers on an already loaded ship.
The sorting is already done when loading the containers.
Ship dimensions (length, width, height): 
24	22	18
Dimensions for each section (length, width, max_height): 
4	11	18
--------------------
Section 3
This section has no holding container
--------------------
Stack at (0, 0), in section: 3
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 0,	 0)	0936	20	2	19	21	20
(2,	 0,	 0)	0937	20	2	20	22	20
(2,	 0,	 1)	3790	20	2	17	19	20
(2,	 0,	 1)	3791	20	2	16	18	20
(2,	 0,	 2)	5536	20	2	16	18	20
(2,	 0,	 2)	5537	20	2	12	14	20
(2,	 0,	 3)	2029	40	4	22	26	22
(2,	 0,	 4)	4529	20	2	9	11	20
(2,	 0,	 4)	4530	20	2	13	15	20
(2,	 0,	 5)	5052	40	4	20	24	22
(2,	 0,	 6)	2994	20	2	2	4	20
(2,	 0,	 6)	2995	20	2	17	19	20
(2,	 0,	 7)	5933	40	4	18	22	22
(2,	 0,	 8)	6129	40	4	18	22	22
(2,	 0,	 9)	3424	20	2	14	16	20
(2,	 0,	 9)	3438	20	2	1	3	20
(2,	 0,	 10)	1760	40	4	10	14	22
(2,	 0,	 11)	2499	40	4	10	14	22
(2,	 0,	 12)	0509	40	4	8	12	22
(2,	 0,	 13)	6262	40	4	8	12	22
(2,	 0,	 14)	0322	40	4	6	10	22
(2,	 0,	 15)	2776	40	4	6	10	22
(2,	 0,	 16)	0729	40	4	5	9	22
(2,	 0,	 17)	0164	40	4	2	6	22
Stack at (2, 1), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 1,	 0)	1144	20	2	19	21	20
(2,	 1,	 0)	1175	20	2	19	21	20
(2,	 1,	 1)	2115	20	2	20	22	20
(2,	 1,	 1)	2116	20	2	17	19	20
(2,	 1,	 2)	3632	20	2	11	13	20
(2,	 1,	 2)	3633	20	2	15	17	20
(2,	 1,	 3)	6128	20	2	6	8	20
(2,	 1,	 3)	6138	20	2	17	19	20
(2,	 1,	 4)	5147	40	4	21	25	22
(2,	 1,	 5)	0391	40	4	20	24	22
(2,	 1,	 6)	5809	40	4	19	23	22
(2,	 1,	 7)	3180	20	2	15	17	20
(2,	 1,	 7)	3189	20	2	3	5	20
(2,	 1,	 8)	4544	40	4	15	19	22
(2,	 1,	 9)	4197	40	4	13	17	22
(2,	 1,	 10)	2939	40	4	10	14	22
(2,	 1,	 11)	4949	40	4	9	13	22
(2,	 1,	 12)	5636	40	4	9	13	22
(2,	 1,	 13)	6081	40	4	9	13	22
(2,	 1,	 14)	0880	20	2	8	10	20
(2,	 1,	 14)	0881	20	2	0	2	20
(2,	 1,	 15)	0167	40	4	6	10	22
(2,	 1,	 16)	2000	40	4	2	6	22
(2,	 1,	 17)	1090	40	4	1	5	22
Stack at (2, 2), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 2,	 0)	3520	20	2	17	19	20
(2,	 2,	 0)	3521	20	2	13	15	20
(2,	 2,	 1)	0952	20	2	9	11	20
(2,	 2,	 1)	0953	20	2	20	22	20
(2,	 2,	 2)	3033	20	2	12	14	20
(2,	 2,	 2)	3034	20	2	10	12	20
(2,	 2,	 3)	0500	40	4	18	22	22
(2,	 2,	 4)	4834	20	2	11	13	20
(2,	 2,	 4)	4843	20	2	7	9	20
(2,	 2,	 5)	5238	20	2	6	8	20
(2,	 2,	 5)	5239	20	2	11	13	20
(2,	 2,	 6)	2153	40	4	15	19	22
(2,	 2,	 7)	4133	20	2	10	12	20
(2,	 2,	 7)	4165	20	2	2	4	20
(2,	 2,	 8)	1765	40	4	11	15	22
(2,	 2,	 9)	2684	20	2	2	4	20
(2,	 2,	 9)	2685	20	2	6	8	20
(2,	 2,	 10)	0176	40	4	7	11	22
(2,	 2,	 11)	1574	40	4	6	10	22
(2,	 2,	 12)	4650	40	4	5	9	22
(2,	 2,	 13)	2485	40	4	4	8	22
(2,	 2,	 14)	4490	40	4	3	7	22
(2,	 2,	 15)	2927	40	4	2	6	22
(2,	 2,	 16)	2058	40	4	1	5	22
(2,	 2,	 17)	0417	40	4	0	4	22
Stack at (2, 3), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 3,	 0)	5657	20	2	19	21	20
(2,	 3,	 0)	5667	20	2	20	22	20
(2,	 3,	 1)	2660	20	2	19	21	20
(2,	 3,	 1)	2661	20	2	12	14	20
(2,	 3,	 2)	4692	20	2	12	14	20
(2,	 3,	 2)	4693	20	2	17	19	20
(2,	 3,	 3)	6229	20	2	19	21	20
(2,	 3,	 3)	6230	20	2	8	10	20
(2,	 3,	 4)	3317	20	2	15	17	20
(2,	 3,	 4)	3318	20	2	7	9	20
(2,	 3,	 5)	0416	20	2	12	14	20
(2,	 3,	 5)	0420	20	2	9	11	20
(2,	 3,	 6)	2189	40	4	19	23	22
(2,	 3,	 7)	1613	40	4	17	21	22
(2,	 3,	 8)	3962	20	2	2	4	20
(2,	 3,	 8)	3963	20	2	15	17	20
(2,	 3,	 9)	5341	40	4	16	20	22
(2,	 3,	 10)	0895	20	2	3	5	20
(2,	 3,	 10)	0914	20	2	12	14	20
(2,	 3,	 11)	1267	40	4	14	18	22
(2,	 3,	 12)	4369	40	4	12	16	22
(2,	 3,	 13)	0180	40	4	7	11	22
(2,	 3,	 14)	2040	40	4	4	8	22
(2,	 3,	 15)	6117	40	4	4	8	22
(2,	 3,	 16)	3805	40	4	2	6	22
(2,	 3,	 17)	6173	40	4	2	6	22
Stack at (2, 4), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 4,	 0)	0752	20	2	17	19	20
(2,	 4,	 0)	0759	20	2	18	20	20
(2,	 4,	 1)	4801	20	2	16	18	20
(2,	 4,	 1)	4802	20	2	7	9	20
(2,	 4,	 2)	2132	20	2	18	20	20
(2,	 4,	 2)	2133	20	2	3	5	20
(2,	 4,	 3)	4311	40	4	21	25	22
(2,	 4,	 4)	2736	40	4	17	21	22
(2,	 4,	 5)	3706	40	4	14	18	22
(2,	 4,	 6)	0183	20	2	0	2	20
(2,	 4,	 6)	0184	20	2	12	14	20
(2,	 4,	 7)	3371	40	4	12	16	22
(2,	 4,	 8)	0512	40	4	10	14	22
(2,	 4,	 9)	3160	40	4	10	14	22
(2,	 4,	 10)	5359	40	4	10	14	22
(2,	 4,	 11)	1879	40	4	9	13	22
(2,	 4,	 12)	1711	40	4	3	7	22
(2,	 4,	 13)	1620	40	4	2	6	22
(2,	 4,	 14)	2640	40	4	2	6	22
(2,	 4,	 15)	4095	40	4	2	6	22
(2,	 4,	 16)	4170	40	4	2	6	22
(2,	 4,	 17)	1559	40	4	0	4	22
Stack at (2, 5), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 5,	 0)	2735	20	2	5	7	20
(2,	 5,	 0)	2751	20	2	16	18	20
(2,	 5,	 1)	5247	20	2	5	7	20
(2,	 5,	 1)	5248	20	2	15	17	20
(2,	 5,	 2)	1964	40	4	19	23	22
(2,	 5,	 3)	4814	40	4	19	23	22
(2,	 5,	 4)	0552	20	2	12	14	20
(2,	 5,	 4)	0553	20	2	5	7	20
(2,	 5,	 5)	1598	20	2	4	6	20
(2,	 5,	 5)	1599	20	2	12	14	20
(2,	 5,	 6)	0985	20	2	1	3	20
(2,	 5,	 6)	0991	20	2	14	16	20
(2,	 5,	 7)	0198	20	2	4	6	20
(2,	 5,	 7)	0199	20	2	10	12	20
(2,	 5,	 8)	4204	40	4	14	18	22
(2,	 5,	 9)	3259	40	4	11	15	22
(2,	 5,	 10)	2401	20	2	4	6	20
(2,	 5,	 10)	2402	20	2	6	8	20
(2,	 5,	 11)	1316	40	4	9	13	22
(2,	 5,	 12)	3681	20	2	6	8	20
(2,	 5,	 12)	3682	20	2	2	4	20
(2,	 5,	 13)	4565	40	4	8	12	22
(2,	 5,	 14)	4010	40	4	7	11	22
(2,	 5,	 15)	3546	40	4	2	6	22
(2,	 5,	 16)	3918	40	4	1	5	22
(2,	 5,	 17)	2690	40	4	0	4	22
Stack at (2, 6), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 6,	 0)	1189	20	2	15	17	20
(2,	 6,	 0)	1190	20	2	14	16	20
(2,	 6,	 1)	0596	20	2	8	10	20
(2,	 6,	 1)	0602	20	2	18	20	20
(2,	 6,	 2)	2285	20	2	13	15	20
(2,	 6,	 2)	2293	20	2	10	12	20
(2,	 6,	 3)	1825	40	4	20	24	22
(2,	 6,	 4)	5458	20	2	17	19	20
(2,	 6,	 4)	5459	20	2	3	5	20
(2,	 6,	 5)	2798	40	4	18	22	22
(2,	 6,	 6)	0205	40	4	17	21	22
(2,	 6,	 7)	4169	20	2	5	7	20
(2,	 6,	 7)	4176	20	2	12	14	20
(2,	 6,	 8)	5951	20	2	10	12	20
(2,	 6,	 8)	5952	20	2	7	9	20
(2,	 6,	 9)	3249	20	2	11	13	20
(2,	 6,	 9)	3264	20	2	5	7	20
(2,	 6,	 10)	3661	40	4	15	19	22
(2,	 6,	 11)	5011	40	4	11	15	22
(2,	 6,	 12)	5819	40	4	10	14	22
(2,	 6,	 13)	4031	40	4	5	9	22
(2,	 6,	 14)	5291	40	4	5	9	22
(2,	 6,	 15)	4614	40	4	3	7	22
(2,	 6,	 16)	4888	40	4	3	7	22
(2,	 6,	 17)	4775	40	4	1	5	22
Stack at (2, 7), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 7,	 0)	2689	20	2	16	18	20
(2,	 7,	 0)	2698	20	2	18	20	20
(2,	 7,	 1)	1623	20	2	17	19	20
(2,	 7,	 1)	1624	20	2	15	17	20
(2,	 7,	 2)	5569	40	4	20	24	22
(2,	 7,	 3)	0214	40	4	18	22	22
(2,	 7,	 4)	4778	20	2	14	16	20
(2,	 7,	 4)	4779	20	2	4	6	20
(2,	 7,	 5)	2322	40	4	15	19	22
(2,	 7,	 6)	3443	40	4	15	19	22
(2,	 7,	 7)	5891	40	4	14	18	22
(2,	 7,	 8)	4064	40	4	12	16	22
(2,	 7,	 9)	0844	40	4	11	15	22
(2,	 7,	 10)	1119	40	4	11	15	22
(2,	 7,	 11)	1404	40	4	8	12	22
(2,	 7,	 12)	3808	40	4	8	12	22
(2,	 7,	 13)	4492	40	4	8	12	22
(2,	 7,	 14)	5155	40	4	7	11	22
(2,	 7,	 15)	0625	20	2	1	3	20
(2,	 7,	 15)	0626	20	2	5	7	20
(2,	 7,	 16)	5406	40	4	6	10	22
(2,	 7,	 17)	4410	40	4	3	7	22
Stack at (2, 8), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 8,	 0)	4954	20	2	17	19	20
(2,	 8,	 0)	4955	20	2	11	13	20
(2,	 8,	 1)	2830	20	2	9	11	20
(2,	 8,	 1)	2831	20	2	17	19	20
(2,	 8,	 2)	1896	40	4	19	23	22
(2,	 8,	 3)	3775	40	4	19	23	22
(2,	 8,	 4)	1451	20	2	16	18	20
(2,	 8,	 4)	1465	20	2	2	4	20
(2,	 8,	 5)	0429	40	4	16	20	22
(2,	 8,	 6)	3370	20	2	2	4	20
(2,	 8,	 6)	3387	20	2	13	15	20
(2,	 8,	 7)	2345	20	2	6	8	20
(2,	 8,	 7)	2349	20	2	7	9	20
(2,	 8,	 8)	0213	20	2	1	3	20
(2,	 8,	 8)	0225	20	2	7	9	20
(2,	 8,	 9)	0838	20	2	5	7	20
(2,	 8,	 9)	0851	20	2	2	4	20
(2,	 8,	 10)	4412	40	4	7	11	22
(2,	 8,	 11)	1056	40	4	5	9	22
(2,	 8,	 12)	4593	40	4	5	9	22
(2,	 8,	 13)	2692	40	4	4	8	22
(2,	 8,	 14)	4791	40	4	4	8	22
(2,	 8,	 15)	1214	20	2	0	2	20
(2,	 8,	 15)	1224	20	2	3	5	20
(2,	 8,	 16)	1339	40	4	3	7	22
(2,	 8,	 17)	4228	40	4	2	6	22
Stack at (2, 9), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 9,	 0)	0646	20	2	8	10	20
(2,	 9,	 0)	0658	20	2	20	22	20
(2,	 9,	 1)	3985	20	2	8	10	20
(2,	 9,	 1)	3990	20	2	16	18	20
(2,	 9,	 2)	1661	40	4	21	25	22
(2,	 9,	 3)	3097	40	4	21	25	22
(2,	 9,	 4)	0229	40	4	20	24	22
(2,	 9,	 5)	5168	20	2	4	6	20
(2,	 9,	 5)	5169	20	2	14	16	20
(2,	 9,	 6)	2197	40	4	17	21	22
(2,	 9,	 7)	4506	20	2	7	9	20
(2,	 9,	 7)	4507	20	2	10	12	20
(2,	 9,	 8)	3689	20	2	6	8	20
(2,	 9,	 8)	3690	20	2	6	8	20
(2,	 9,	 9)	4971	40	4	9	13	22
(2,	 9,	 10)	1302	40	4	7	11	22
(2,	 9,	 11)	2602	40	4	7	11	22
(2,	 9,	 12)	5622	40	4	7	11	22
(2,	 9,	 13)	1506	40	4	6	10	22
(2,	 9,	 14)	2944	40	4	5	9	22
(2,	 9,	 15)	2783	40	4	2	6	22
(2,	 9,	 16)	3569	40	4	0	4	22
(2,	 9,	 17)	5778	40	4	0	4	22
Stack at (2, 10), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(2,	 10,	 0)	4246	20	2	16	18	20
(2,	 10,	 0)	4256	20	2	17	19	20
(2,	 10,	 1)	6146	20	2	16	18	20
(2,	 10,	 1)	6147	20	2	17	19	20
(2,	 10,	 2)	5087	20	2	11	13	20
(2,	 10,	 2)	5088	20	2	17	19	20
(2,	 10,	 3)	0367	40	4	22	26	22
(2,	 10,	 4)	2329	40	4	22	26	22
(2,	 10,	 5)	3224	40	4	22	26	22
(2,	 10,	 6)	0904	40	4	21	25	22
(2,	 10,	 7)	5780	20	2	2	4	20
(2,	 10,	 7)	5787	20	2	17	19	20
(2,	 10,	 8)	3836	20	2	3	5	20
(2,	 10,	 8)	3837	20	2	14	16	20
(2,	 10,	 9)	1938	40	4	16	20	22
(2,	 10,	 10)	2840	20	2	7	9	20
(2,	 10,	 10)	2841	20	2	8	10	20
(2,	 10,	 11)	1362	40	4	13	17	22
(2,	 10,	 12)	6055	20	2	7	9	20
(2,	 10,	 12)	6056	20	2	4	6	20
(2,	 10,	 13)	1671	40	4	9	13	22
(2,	 10,	 14)	0239	40	4	5	9	22
(2,	 10,	 15)	5701	40	4	4	8	22
(2,	 10,	 16)	3713	40	4	3	7	22
(2,	 10,	 17)	5004	20	2	1	3	20
(2,	 10,	 17)	5018	20	2	0	2	20
Stack at (3, 0), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 0,	 0)	3396	20	2	19	21	20
(3,	 0,	 0)	3397	20	2	5	7	20
(3,	 0,	 1)	0970	20	2	15	17	20
(3,	 0,	 1)	0971	20	2	8	10	20
(3,	 0,	 2)	1854	40	4	20	24	22
(3,	 0,	 3)	2643	40	4	20	24	22
(3,	 0,	 4)	1427	20	2	10	12	20
(3,	 0,	 4)	1428	20	2	7	9	20
(3,	 0,	 5)	4002	20	2	10	12	20
(3,	 0,	 5)	4003	20	2	4	6	20
(3,	 0,	 6)	4346	40	4	13	17	22
(3,	 0,	 7)	5051	20	2	7	9	20
(3,	 0,	 7)	5064	20	2	6	8	20
(3,	 0,	 8)	0244	40	4	12	16	22
(3,	 0,	 9)	5409	20	2	7	9	20
(3,	 0,	 9)	5419	20	2	5	7	20
(3,	 0,	 10)	2304	20	2	2	4	20
(3,	 0,	 10)	2305	20	2	9	11	20
(3,	 0,	 11)	4854	40	4	9	13	22
(3,	 0,	 12)	0695	40	4	8	12	22
(3,	 0,	 13)	0508	20	2	0	2	20
(3,	 0,	 13)	0517	20	2	5	7	20
(3,	 0,	 14)	3093	40	4	5	9	22
(3,	 0,	 15)	3268	40	4	5	9	22
(3,	 0,	 16)	4706	40	4	4	8	22
(3,	 0,	 17)	5707	40	4	3	7	22
Stack at (3, 1), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 1,	 0)	5961	20	2	16	18	20
(3,	 1,	 0)	5962	20	2	16	18	20
(3,	 1,	 1)	4285	20	2	6	8	20
(3,	 1,	 1)	4286	20	2	18	20	20
(3,	 1,	 2)	1233	20	2	13	15	20
(3,	 1,	 2)	1234	20	2	10	12	20
(3,	 1,	 3)	6246	40	4	22	26	22
(3,	 1,	 4)	1764	20	2	19	21	20
(3,	 1,	 4)	1772	20	2	2	4	20
(3,	 1,	 5)	4976	20	2	10	12	20
(3,	 1,	 5)	4977	20	2	10	12	20
(3,	 1,	 6)	0775	40	4	19	23	22
(3,	 1,	 7)	2484	20	2	4	6	20
(3,	 1,	 7)	2505	20	2	15	17	20
(3,	 1,	 8)	3379	40	4	19	23	22
(3,	 1,	 9)	5709	40	4	19	23	22
(3,	 1,	 10)	2972	40	4	18	22	22
(3,	 1,	 11)	3847	20	2	3	5	20
(3,	 1,	 11)	3848	20	2	15	17	20
(3,	 1,	 12)	0238	20	2	3	5	20
(3,	 1,	 12)	0251	20	2	12	14	20
(3,	 1,	 13)	5427	20	2	2	4	20
(3,	 1,	 13)	5428	20	2	11	13	20
(3,	 1,	 14)	0575	40	4	7	11	22
(3,	 1,	 15)	2321	20	2	0	2	20
(3,	 1,	 15)	2340	20	2	6	8	20
(3,	 1,	 16)	2262	40	4	1	5	22
(3,	 1,	 17)	4892	40	4	1	5	22
Stack at (3, 2), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 2,	 0)	1290	20	2	4	6	20
(3,	 2,	 0)	1305	20	2	18	20	20
(3,	 2,	 1)	5298	40	4	22	26	22
(3,	 2,	 2)	4188	20	2	20	22	20
(3,	 2,	 2)	4189	20	2	0	2	20
(3,	 2,	 3)	1905	40	4	19	23	22
(3,	 2,	 4)	2853	40	4	19	23	22
(3,	 2,	 5)	3743	40	4	18	22	22
(3,	 2,	 6)	0732	40	4	16	20	22
(3,	 2,	 7)	4709	20	2	8	10	20
(3,	 2,	 7)	4710	20	2	5	7	20
(3,	 2,	 8)	0436	40	4	12	16	22
(3,	 2,	 9)	5019	40	4	10	14	22
(3,	 2,	 10)	3299	40	4	9	13	22
(3,	 2,	 11)	0258	40	4	8	12	22
(3,	 2,	 12)	2488	40	4	7	11	22
(3,	 2,	 13)	3551	40	4	7	11	22
(3,	 2,	 14)	1138	40	4	5	9	22
(3,	 2,	 15)	2360	40	4	4	8	22
(3,	 2,	 16)	2745	40	4	2	6	22
(3,	 2,	 17)	1801	40	4	1	5	22
Stack at (3, 3), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 3,	 0)	4419	20	2	18	20	20
(3,	 3,	 0)	4439	20	2	20	22	20
(3,	 3,	 1)	0638	20	2	4	6	20
(3,	 3,	 1)	0639	20	2	18	20	20
(3,	 3,	 2)	2931	20	2	15	17	20
(3,	 3,	 2)	2948	20	2	7	9	20
(3,	 3,	 3)	1516	40	4	21	25	22
(3,	 3,	 4)	1971	20	2	0	2	20
(3,	 3,	 4)	1978	20	2	20	22	20
(3,	 3,	 5)	3974	40	4	20	24	22
(3,	 3,	 6)	1145	40	4	14	18	22
(3,	 3,	 7)	5257	40	4	14	18	22
(3,	 3,	 8)	0263	20	2	8	10	20
(3,	 3,	 8)	0264	20	2	5	7	20
(3,	 3,	 9)	2425	40	4	12	16	22
(3,	 3,	 10)	3595	40	4	10	14	22
(3,	 3,	 11)	5754	40	4	8	12	22
(3,	 3,	 12)	5609	40	4	7	11	22
(3,	 3,	 13)	3409	40	4	5	9	22
(3,	 3,	 14)	2761	40	4	4	8	22
(3,	 3,	 15)	0527	40	4	2	6	22
(3,	 3,	 16)	3900	40	4	0	4	22
(3,	 3,	 17)	5901	40	4	0	4	22
Stack at (3, 4), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 4,	 0)	6020	20	2	18	20	20
(3,	 4,	 0)	6021	20	2	14	16	20
(3,	 4,	 1)	5635	20	2	17	19	20
(3,	 4,	 1)	5644	20	2	11	13	20
(3,	 4,	 2)	3570	20	2	17	19	20
(3,	 4,	 2)	3571	20	2	7	9	20
(3,	 4,	 3)	4876	20	2	9	11	20
(3,	 4,	 3)	4916	20	2	15	17	20
(3,	 4,	 4)	2514	20	2	3	5	20
(3,	 4,	 4)	2515	20	2	20	22	20
(3,	 4,	 5)	3061	20	2	5	7	20
(3,	 4,	 5)	3076	20	2	18	20	20
(3,	 4,	 6)	1788	40	4	16	20	22
(3,	 4,	 7)	1016	40	4	15	19	22
(3,	 4,	 8)	2188	20	2	5	7	20
(3,	 4,	 8)	2204	20	2	9	11	20
(3,	 4,	 9)	0701	40	4	12	16	22
(3,	 4,	 10)	4111	20	2	12	14	20
(3,	 4,	 10)	4112	20	2	0	2	20
(3,	 4,	 11)	0390	20	2	0	2	20
(3,	 4,	 11)	0400	20	2	11	13	20
(3,	 4,	 12)	4453	20	2	4	6	20
(3,	 4,	 12)	4461	20	2	7	9	20
(3,	 4,	 13)	1578	40	4	8	12	22
(3,	 4,	 14)	5452	40	4	8	12	22
(3,	 4,	 15)	0273	40	4	6	10	22
(3,	 4,	 16)	1368	40	4	6	10	22
(3,	 4,	 17)	4787	40	4	3	7	22
Stack at (3, 5), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 5,	 0)	2601	20	2	14	16	20
(3,	 5,	 0)	2607	20	2	14	16	20
(3,	 5,	 1)	3413	20	2	17	19	20
(3,	 5,	 1)	3414	20	2	8	10	20
(3,	 5,	 2)	4823	20	2	11	13	20
(3,	 5,	 2)	4824	20	2	11	13	20
(3,	 5,	 3)	5340	20	2	9	11	20
(3,	 5,	 3)	5348	20	2	12	14	20
(3,	 5,	 4)	0272	20	2	18	20	20
(3,	 5,	 4)	0278	20	2	2	4	20
(3,	 5,	 5)	4374	40	4	19	23	22
(3,	 5,	 6)	1479	40	4	18	22	22
(3,	 5,	 7)	2215	20	2	9	11	20
(3,	 5,	 7)	2216	20	2	8	10	20
(3,	 5,	 8)	5736	40	4	17	21	22
(3,	 5,	 9)	4018	40	4	14	18	22
(3,	 5,	 10)	0669	40	4	13	17	22
(3,	 5,	 11)	5992	20	2	2	4	20
(3,	 5,	 11)	5993	20	2	10	12	20
(3,	 5,	 12)	1227	40	4	10	14	22
(3,	 5,	 13)	1025	40	4	7	11	22
(3,	 5,	 14)	3241	40	4	7	11	22
(3,	 5,	 15)	1999	20	2	1	3	20
(3,	 5,	 15)	2004	20	2	4	6	20
(3,	 5,	 16)	1853	20	2	1	3	20
(3,	 5,	 16)	1919	20	2	0	2	20
(3,	 5,	 17)	6112	40	4	1	5	22
Stack at (3, 6), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 6,	 0)	0481	20	2	15	17	20
(3,	 6,	 0)	0482	20	2	8	10	20
(3,	 6,	 1)	4119	40	4	18	22	22
(3,	 6,	 2)	3159	20	2	11	13	20
(3,	 6,	 2)	3163	20	2	6	8	20
(3,	 6,	 3)	2246	40	4	16	20	22
(3,	 6,	 4)	1107	20	2	1	3	20
(3,	 6,	 4)	1127	20	2	14	16	20
(3,	 6,	 5)	4927	20	2	11	13	20
(3,	 6,	 5)	4928	20	2	4	6	20
(3,	 6,	 6)	1485	40	4	12	16	22
(3,	 6,	 7)	2653	40	4	12	16	22
(3,	 6,	 8)	3558	40	4	11	15	22
(3,	 6,	 9)	3825	20	2	2	4	20
(3,	 6,	 9)	3826	20	2	9	11	20
(3,	 6,	 10)	0286	40	4	10	14	22
(3,	 6,	 11)	4570	40	4	8	12	22
(3,	 6,	 12)	2960	40	4	7	11	22
(3,	 6,	 13)	2057	20	2	1	3	20
(3,	 6,	 13)	2061	20	2	4	6	20
(3,	 6,	 14)	1886	40	4	4	8	22
(3,	 6,	 15)	1029	40	4	2	6	22
(3,	 6,	 16)	1797	40	4	1	5	22
(3,	 6,	 17)	4835	40	4	0	4	22
Stack at (3, 7), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 7,	 0)	0294	20	2	14	16	20
(3,	 7,	 0)	0295	20	2	11	13	20
(3,	 7,	 1)	2089	40	4	21	25	22
(3,	 7,	 2)	1561	20	2	7	9	20
(3,	 7,	 2)	1582	20	2	13	15	20
(3,	 7,	 3)	4152	40	4	20	24	22
(3,	 7,	 4)	3451	40	4	17	21	22
(3,	 7,	 5)	4896	40	4	15	19	22
(3,	 7,	 6)	2621	20	2	11	13	20
(3,	 7,	 6)	2622	20	2	1	3	20
(3,	 7,	 7)	3856	20	2	1	3	20
(3,	 7,	 7)	3857	20	2	11	13	20
(3,	 7,	 8)	0743	40	4	11	15	22
(3,	 7,	 9)	2932	40	4	11	15	22
(3,	 7,	 10)	5197	40	4	11	15	22
(3,	 7,	 11)	1059	40	4	6	10	22
(3,	 7,	 12)	1375	40	4	6	10	22
(3,	 7,	 13)	4656	20	2	1	3	20
(3,	 7,	 13)	4657	20	2	5	7	20
(3,	 7,	 14)	3287	40	4	5	9	22
(3,	 7,	 15)	1246	40	4	2	6	22
(3,	 7,	 16)	2046	40	4	0	4	22
(3,	 7,	 17)	3200	40	4	0	4	22
Stack at (3, 8), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 8,	 0)	4592	20	2	13	15	20
(3,	 8,	 0)	4597	20	2	17	19	20
(3,	 8,	 1)	1800	20	2	16	18	20
(3,	 8,	 1)	1804	20	2	11	13	20
(3,	 8,	 2)	6099	20	2	17	19	20
(3,	 8,	 2)	6100	20	2	10	12	20
(3,	 8,	 3)	5507	40	4	22	26	22
(3,	 8,	 4)	2411	40	4	19	23	22
(3,	 8,	 5)	1078	40	4	18	22	22
(3,	 8,	 6)	3865	40	4	18	22	22
(3,	 8,	 7)	5857	20	2	12	14	20
(3,	 8,	 7)	5858	20	2	6	8	20
(3,	 8,	 8)	3479	40	4	16	20	22
(3,	 8,	 9)	3105	40	4	15	19	22
(3,	 8,	 10)	0305	20	2	2	4	20
(3,	 8,	 10)	0306	20	2	11	13	20
(3,	 8,	 11)	0753	40	4	12	16	22
(3,	 8,	 12)	1524	40	4	12	16	22
(3,	 8,	 13)	6268	40	4	12	16	22
(3,	 8,	 14)	4299	40	4	11	15	22
(3,	 8,	 15)	5268	40	4	9	13	22
(3,	 8,	 16)	0530	20	2	0	2	20
(3,	 8,	 16)	0531	20	2	8	10	20
(3,	 8,	 17)	2878	40	4	8	12	22
Stack at (3, 9), in section: 2
(x,	 y,	 z)	code	length	weight	cargo	TW	cargo capacity
(3,	 9,	 0)	1562	40	4	22	26	22
(3,	 9,	 1)	4853	20	2	11	13	20
(3,	 9,	 1)	4859	20	2	11	13	20
(3,	 9,	 2)	2245	20	2	15	17	20
(3,	 9,	 2)	2253	20	2	6	8	20
(3,	 9,	 3)	3536	40	4	20	24	22
(3,	 9,	 4)	1092	40	4	19	23	22
(3,	 9,	 5)	3046	40	4	18	22	22
(3,	 9,	 6)	5568	20	2	12	14	20
(3,	 9,	 6)	5579	20	2	5	7	20
(3,	 9,	 7)	4468	40	4	14	18	22
(3,	 9,	 8)	2714	40	4	12	16	22
(3,	 9,	 9)	0674	40	4	10	14	22
(3,	 9,	 10)	4025	20	2	7	9	20
(3,	 9,	 10)	4026	20	2	2	4	20
(3,	 9,	 11)	5364	40	4	9	13	22
(3,	 9,	 12)	0310	40	4	8	12	22
(3,	 9,	 13)	0444	40	4	8	12	22
(3,	 9,	 14)	4231	20	2	0	2	20
(3,	 9,	 14)	4232	20	2	7	9	20
(3,	 9,	 15)	2064	40	4	5	9	22
